id,userQuestion,correctAnswer,category,tags
26,"Can I save multiple addresses?","Yes, in My Account > Address Book, you can save multiple delivery addresses and select your preferred address during checkout.","Account","address;delivery;multiple;saved"
27,"How do I contact customer support?","You can reach us 24/7 at Phone: +8801611112222 or Email us at customer@exclusive.com or support@exclusive.com.","Support","contact;help;support;assistance"
28,"What is your return policy?","We offer 30-day returns on most items. The product must be unused and in original packaging. Check the full return policy on our website.","Support","returns;refund;policy;exchange"
29,"Can I exchange a product?","Yes, we offer exchanges for damaged or wrong items. Contact support@exclusive.com with your order ID and issue details within 7 days of delivery.","Support","exchange;damaged;wrong;refund"
30,"Do you offer gift options?","Yes, we provide gift wrapping and personalized messages for select items. Choose the gift option during checkout and add your message.","Shopping","gift;wrapping;message;personalized"
31,"What product categories are available?","We have categories for Fashion, Electronics, Gaming, Home & Office, Sports, Beauty, Kids, and more. Browse all categories from the main navigation menu.","Products","categories;browse;explore;shop"
32,"How do I become a seller on your platform?","We're not a marketplace. However, we're always looking to partner with brands. Contact partnerships@exclusive.com for business inquiries.","Support","seller;partnership;business;inquiry"
33,"Is my personal information secure?","Yes, we use SSL encryption and advanced security protocols to protect your personal and payment information. Your data is never shared without consent.","Account","security;privacy;encryption;protection"
34,"Do you have a mobile app?","Yes! Download our mobile app from the App Store or Google Play for a seamless shopping experience with exclusive mobile-only deals.","Support","app;mobile;download;ios;android"
35,"What sizes and colors are available?","Each product has available sizes and colors listed in the product details. Select your preferred options before adding to cart.","Products","sizes;colors;options;variants"
36,"Can I see customer reviews?","Yes, each product page displays customer ratings and reviews. Read reviews from verified buyers to help with your purchase decision.","Products","reviews;ratings;feedback;comments"
37,"How do I remove items from my cart?","Go to your shopping cart, click the delete or remove button next to the item you want to remove.","Shopping","cart;remove;delete;items"
38,"Do you offer bulk orders?","For bulk orders, please contact our sales team at sales@exclusive.com. We provide special pricing for wholesale purchases.","Support","bulk;wholesale;quantity;business"
39,"What warranty do electronics have?","Most electronics come with a 1-year manufacturer's warranty covering manufacturing defects. Check individual product details for specific warranty information.","Products","warranty;guarantee;protection;electronics"
40,"How do I know if a product is in my wishlist?","Products in your wishlist show a filled/highlighted heart icon. Go to My Account > Wishlist to view all your saved items.","Shopping","wishlist;saved;favorites;status"
41,"Can I use the site on mobile?","Yes, our website is fully mobile-responsive and works seamlessly on smartphones and tablets. You can shop anytime, anywhere!","Support","mobile;responsive;app;tablet"
42,"What is your return window?","We accept returns within 30 days of purchase. Items must be unused, in original packaging, and accompanied by the original invoice.","Support","returns;policy;window;days;refund"
43,"Do you offer express checkout?","Yes, saved payment and address information allow for faster checkout. Simply review and confirm for an express checkout experience.","Shopping","express;checkout;fast;quick"
44,"How do I manage my saved addresses?","Go to My Account > Address Book to add, edit, or delete your saved delivery addresses.","Account","address;management;saved;edit"
45,"What if I entered the wrong delivery address?","Contact support@exclusive.com immediately with your order ID. If the order hasn't shipped yet, we can change the address.","Support","address;wrong;change;error"
46,"Do you ship internationally?","Yes, we ship to selected countries worldwide. Shipping costs and delivery times vary. Check during checkout if we deliver to your location.","Delivery","international;shipping;countries;global"
47,"Can I order as a guest?","No, you must create an account to place orders. Creating an account is quick and free, and it helps track your orders and manage addresses.","Account","guest;account;registration;required"
48,"What is the price range of products?","Our products range from $50 to $1200+ depending on the category. Use filters to see products within your budget.","Products","price;range;budget;filter"
49,"Are seasonal products available?","Yes! We have seasonal products like winter coats, summer clothing, and holiday items. Check the 'Seasonal' or 'New Arrival' sections regularly.","Products","seasonal;weather;collections;limited"
50,"How do I unsubscribe from emails?","Click the 'Unsubscribe' link at the bottom of any promotional email, or go to My Account > Preferences to manage your email settings.","Account","email;unsubscribe;newsletter;preferences"
